ProjectName,Proposal,ProjectLocation,AnticipatedDateOfSubmission,Stage,Region,LatLong
"Nautilus Interconnector","EN02 - Electric Lines","Proposed in Suffolk, in proximity to the coast near Sizewell.",0000-00-00,1,Eastern,"52.196350024852, 1.5332694922112"
"Navitus Bay Wind Park","EN01 - Generating Stations","South West of Isle of Wight",0000-00-00,7,"South East","50.36586834902, -1.6520557269143"
"Norfolk Boreas","EN01 - Generating Stations","The centre of Norfolk Boreas is approximately 94km north east of Great Yarmouth",0000-00-00,7,Eastern,"52.963597232659, 2.4475556828508"
"Norfolk Vanguard","EN01 - Generating Stations","The centre of Norfolk Vanguard West is 67km from the Bacton coast and 63km from the Gorleston coast",0000-00-00,7,Eastern,"52.83888157308, 2.1511325406264"
"North Doncaster Rail Chord (near Shaftholme)","TR04 - Railways","North Doncaster",0000-00-00,7,"Yorkshire and the Humber","53.587667997341, -1.1200579140983"
"North Falls Offshore Wind Farm","EN01 - Generating Stations","The southern section of the North Sea, approximately 24.5km from its nearest point to land.",0000-00-00,1,Eastern,"51.718576885169, 1.9023452890953"
"North Humber to High Marnham","EN02 - Electric Lines","Between the Creyke Beck substation in Cottingham and High Marnham substation in Nottinghamshire.",2026-06-30,1,"Yorkshire and the Humber","53.559272548333, -0.79169754310489"
"North Killingholme Power Project","EN01 - Generating Stations","Land West of Humber Sea Terminal",0000-00-00,7,"Yorkshire and the Humber","53.663065772589, -0.25008347355094"
"North Lincolnshire Green Energy Park","EN01 - Generating Stations","Flixborough Wharf, Flixborough Industrial Estate, North Lincolnshire.",0000-00-00,5,"Yorkshire and the Humber","53.619823079326, -0.70120161621619"
"North London (Electricity Line) Reinforcement","EN02 - Electric Lines","North London",2012-08-30,7,London,"51.603334729713, -0.045661799530857"
"North London Heat and Power Project","EN01 - Generating Stations","London Borough of Enfield",0000-00-00,7,London,"51.61770280744, -0.038976693921746"
"North Wales Connection","EN02 - Electric Lines",Anglesey/Gwynedd,0000-00-00,8,Wales,"53.414954971359, -4.4791588847071"
"North Wales Wind Farms Connection","EN02 - Electric Lines","Within Conwy & Denbighshire Council areas",0000-00-00,7,Wales,"53.087557035142, -3.4690281900453"
"North West Coast Connections Project - N Grid","EN02 - Electric Lines","Cumbria - Lancashire (location option dependant)",0000-00-00,8,"North West","54.425647931825, -3.5057108958614"
"Northampton Gateway Rail Freight Interchange","TR05 - Rail Freight Interchanges","Land west of the A508, south west of M1 Junction 15 and east of Northampton Loop Line",0000-00-00,7,"East Midlands","52.183280523299, -0.9072913702019"
"Norwich Northern Distributor Road (NDR)","TR01 - Highways","North of Norwich from a point 1.6km NW of A1067",2014-01-07,7,Eastern,"52.657239619231, 1.3345975129356"
"NuGens Moorside Project in West Cumbria","EN01 - Generating Stations","West Cumbrian Coast",0000-00-00,8,"North West","54.424275136099, -3.5105474328429"
"Oaklands Farm Solar Project","EN01 - Generating Stations","Land at Rosliston Road, south of Drakelow Power Station",2023-07-31,1,"East Midlands","52.754610 , -1.6547322"
"Oikos Marine & South Side Development","TR03 - Harbour Facilities","Oikos Storage Terminal, Canvey Island, Essex, SS8 0NR",0000-00-00,1,Eastern,"51.510677975101, 0.56006114991864"
"Oldbury New Nuclear Power Station","EN01 - Generating Stations","South Gloucestershire",0000-00-00,8,"South West","51.647597911912, -2.5681874606365"
"Outer Dowsing Offshore Wind (Generating Station)","EN01 - Generating Stations","The project is in the Southern North Sea, approximately 54km from the Lincolnshire coast.",2024-03-29,1,"East Midlands","53.560882997234, 1.2746859059265"
"Oxfordshire Strategic Rail Freight Interchange","TR05 - Rail Freight Interchanges","Land west of the B430, east of Upper Heyford Former Airfield, and south of the village of Ardley",0000-00-00,1,"South East","51.931753336273, -1.2216476089469"
"Palm Paper 3 CCGT Power station Kings Lynn","EN01 - Generating Stations","Palm Paper Mill, King's Lynn",0000-00-00,7,Eastern,"52.733477478231, 0.38552966545871"
"Perrys Farm Hazardous Waste Management Facility","WS01 - Hazardous Waste Facilities","Perrys Farm Isle of Grain Penninsula",0000-00-00,1,"South East","51.453439136647, 0.70488288198592"
"Port Blyth New Biomass Plant","EN01 - Generating Stations","Port Blyth in Northumberland",2012-03-08,7,"North East","55.138004619866, -1.5145614073701"
"Portishead Branch Line - MetroWest Phase 1","TR04 - Railways","Within North Somerset and Bristol City Council administrative boundaries",0000-00-00,7,"South West","51.48441200795, -2.7615229238543"
"Preesall Saltfield Underground Gas Storage","EN03 - Underground Gas Storage Facilities","Preesall Saltfield, Over Wyre, Lancashire.",0000-00-00,7,"North West","53.906018503104, -2.9742913669906"
"Progress Power Station","EN01 - Generating Stations","Eye Airfield Industrial Estate, Mid Suffolk",0000-00-00,7,Eastern,"52.332169703082, 1.1300609451255"
"Rail Central (Strategic Rail Freight Interchange)","TR05 - Rail Freight Interchanges","Land at Arm Farm, Milton Malsor, Northampton",0000-00-00,8,"East Midlands","52.679645473489, -0.91787503259675"
"Rampion 2 Offshore Wind Farm","EN01 - Generating Stations","Adjacent to the exisiting Rampion Wind Farm, approximately 13km off the Sussex Coast",0000-00-00,1,"South East","50.799057860141, -0.56075472150367"
"Rampion Offshore Wind Farm","EN01 - Generating Stations","Approximately 13 - 23km off the Sussex coast",2013-03-01,7,"South East","50.64188572482, -0.13026043637914"
"Redditch Branch Enhancement Scheme","TR04 - Railways","Between Redditch and Alvechurch",0000-00-00,7,"West Midlands","52.350350929407, -1.9684172378665"
"Reinforcement to North Shropshire Electricity Distribution Network","EN02 - Electric Lines","From Oswestry Grid Substation to Wem Primary Substation",0000-00-00,7,"West Midlands","52.846053101403, -2.8854849868683"
"Richborough Connection Project","EN02 - Electric Lines","Richborough to Canterbury",0000-00-00,7,"South East","51.310676151295, 1.2443642380089"
"Rivenhall IWMF and Energy Centre","EN01 - Generating Stations","Land at the former Rivenhall Airfield, off Coggeshall Road (A120), Braintree CO5 9DF",2023-09-01,1,Eastern,"51.853661898339, 0.64575478521552"
"River Humber Gas Pipeline Replacement Project","EN06 - Gas Transporter Pipe-lines","A crossing of the Humber Estuary (see project description for detail)",0000-00-00,7,"Yorkshire and the Humber","53.702332935513, -0.24189389987691"
"River Thames Scheme","WA02 - Transfer of Water Resources","The flood channels are proposed between Egham Hythe and Chertsey and between Laleham and Weybridge.",0000-00-00,1,"South East","51.395874084788, -0.48782793296358"
"Riverside Energy Park","EN01 - Generating Stations","Immediately to the west of the existing Riverside Resource Recovery Facility,Bexley, London",0000-00-00,7,London,"51.504753945777, 0.1546306976051"
"Rookery South Energy from Waste Generating Station","EN01 - Generating Stations","Rookery South Pit, Near Stewartby, Bedfordshire",2010-07-05,7,Eastern,"52.059018720845, -0.51494723713858"
"Roosecote (Barrow) Biomass Power Station","EN01 - Generating Stations","Within site of existing Roosecote Power Station",0000-00-00,8,NULL,NULL
"Sea Link","EN02 - Electric Lines","The project a sub-sea cable from the Sizewell area in Suffolk to Richborough in Kent.",2024-03-29,1,"South East","51.801774496354, 1.7807879841344"
"Seabank 3 CCGT","EN01 - Generating Stations","South Gloucestershire",0000-00-00,1,"South West","51.53940596441, -2.6694704872271"
"Sheringham and Dudgeon Extension Projects","EN01 - Generating Stations","SEP is to the north and east of Sheringham Shoal OFW. DEP is north and southeast of Dudgeon OFW.",0000-00-00,4,Eastern,"52.564615008475, 1.2700690278435"
"Silvertown Tunnel","TR01 - Highways","The new road tunnel will pass under the River Thames between Silvertown and North Greenwich",0000-00-00,7,London,"51.501093009527, 0.013480604523742"
"Slough Multifuel Extension Project","EN01 - Generating Stations","Land at 342 Edinburgh Avenue, Slough Trading Estate, Slough, Berkshire, SL1 4TU.",0000-00-00,4,"South East","51.523485310448, -0.62775079786426"
"South Hook Combined Heat & Power Station","EN01 - Generating Stations","South Hook LNG Terminal Site, Pembrokeshire",0000-00-00,7,Wales,"51.71471315153, -5.077915321826"
"South Humber Bank Energy Centre","EN01 - Generating Stations","Land at South Humber Bank Power Station, South Marsh Road, Stallingborough, near Grimsby, DN41 8BZ",0000-00-00,7,"Yorkshire and the Humber","53.60266436236, -0.13963675806158"
"Southampton to London Pipeline Project","EN07 - Other Pipe-lines","From Boorley Green, Hampshire to Hounslow, West London, via Alton.",2019-05-14,7,"South East","51.168053994968, -0.93202867664817"
"SP Mid Wales (Electricity) Connections Project (SP Manweb)","EN02 - Electric Lines","Mid Wales",0000-00-00,1,Wales,"52.555440264014, -3.5296574552854"
"Springwell Solar Farm","EN01 - Generating Stations","The Site is located within the administrative boundary of North Kesteven District Council, in the Co",0000-00-00,1,"East Midlands","53.098843127079, -0.4228191554673"
"Stafford Area Improvements - Norton Bridge Railway","TR04 - Railways","5Km NW of Stafford - centred on Norton Bridge",0000-00-00,7,"West Midlands","52.869252531554, -2.1894321638725"
"Stonestreet Green Solar","EN01 - Generating Stations","Land at Aldington, southeast of Ashford in Kent",2023-09-28,1,"South East","51.102281485587, 0.93671152610757"
"Sunnica Energy Farm","EN01 - Generating Stations","Sunnica West is located south of Chippenham, and Sunnica East is located south of Worlington",2021-07-15,5,Eastern,"52.276655384875, 0.43857792003126"
"Tees CCPP","EN01 - Generating Stations","Site of the former Teesside Power Station; Greystone Road, Grangetown, Middlesbrough, TS6 8JF",0000-00-00,7,"North East","54.575507091395, -1.1252885336795"
"Temple Oaks Renewable Energy Park","EN01 - Generating Stations","On land comprising the former RAF Folkingham, approximately 1.8km south west of Folkingham",0000-00-00,1,"East Midlands","52.861754696567, -0.4418278710292"
"Thames Tideway Tunnel","WW01 - Waste Water treatment Plants","Cross London Project",0000-00-00,7,London,"51.508979128359, -0.11074036781367"
"Thanet Extension Offshore Wind Farm","EN01 - Generating Stations","approximately 8km off the east coast of Kent, in areas surrounding Thanet Offshore Wind Farm",0000-00-00,7,"South East","51.4242458772, 1.5499022704315"
"The London Resort","BC08 - Leisure","Swanscombe Peninsula and land adjacent to Ebbsfleet Station",0000-00-00,8,"South East","51.455348871558, 0.31323952875368"
"The Net Zero Teesside Project","EN01 - Generating Stations","Land at and in the vicinity of Teesworks, Redcar, Teesside, TS10 5QW",0000-00-00,6,"North East","54.618741429831, -1.1192657431242"
"The Sizewell C Project","EN01 - Generating Stations","Near Leiston in Suffolk",0000-00-00,7,Eastern,"52.207044854054, 1.6166447707429"
"The West Somerset Tidal Lagoon","EN01 - Generating Stations","Culvercliff in Minehead to Lilstock, West Somerset",0000-00-00,1,"South West","51.193761475303, -3.3472239757552"
"Thorpe Marsh Gas Pipeline","EN07 - Other Pipe-lines","1.5km west of Camblesforth to Thorpe Marsh",0000-00-00,7,"Yorkshire and the Humber","53.657355552643, -1.0529270030879"
"Thurrock Flexible Generation Plant","EN01 - Generating Stations","North of the existing Tilbury National Grid substation, off Station Road, Thurrock, RM18 8UL",0000-00-00,7,"South East","51.462925784784, 0.39344422657936"
"Tidal Lagoon Cardiff","EN01 - Generating Stations","2km from Cardiff Bay, 2km from the River Usk mouth and 8km from the foreshore of the Severn Estuary",0000-00-00,1,Wales,"51.43278294607, -3.0442935687705"
"Tidal Lagoon Newport","EN01 - Generating Stations","Newport, South Wales",0000-00-00,8,Wales,"51.470931253356, -2.9412159324847"
"Tidal Lagoon Swansea Bay","EN01 - Generating Stations","Swansea Bay, South Wales",0000-00-00,7,Wales,"51.604778157189, -3.9092659144981"
"TIGRE Project 1 (TP1)","EN01 - Generating Stations","approximately 50-60km northeast of Great Yarmouth located entirely offshore beyond 12 NM",0000-00-00,1,Eastern,"53.500273338555, 1.9983001048668"
"Tilbury Energy Centre","EN01 - Generating Stations","Tilbury Power Station, Fort Road, Tilbury, RM18 8UJ",0000-00-00,8,"South East","51.457304359175, 0.39235037271134"
"Tilbury Gas Fired Power Station","EN01 - Generating Stations",Essex,0000-00-00,8,"South East",NULL
Tilbury2,"TR03 - Harbour Facilities","Site of the former Tilbury Power Station, approximately 1 km east of the existing Port of Tilbury",0000-00-00,7,"South East","51.458172860982, 0.38680954128908"
"Tillbridge Solar Project","EN01 - Generating Stations","Land east and south-east of Gainsborough, south of A631 and west of B1398.",2023-09-01,1,"East Midlands","53.393092399452, -0.62779806678828"
"Triton Knoll Electrical System","EN02 - Electric Lines","33km off the Lincolnshire coast to the Triton Knoll Substation in Lincolnshire",0000-00-00,7,"East Midlands","52.930664942582, -0.21822885424786"
"Triton Knoll Offshore Wind Farm","EN01 - Generating Stations","Greater Wash",0000-00-00,7,"East Midlands","53.429699607612, 0.79780529538761"
"Tween Bridge Solar Farm","EN01 - Generating Stations","Land either side of the M180, High Level Banks (the A18) and the Stainforth and Keadby Canal",2024-06-28,1,"Yorkshire and the Humber","53.608447983665, -0.92325751344905"
"Viking CCS Pipeline","EN07 - Other Pipe-lines","From land south of VPI Immingham Power Plant to the Theddlethorpe Gas Terminal",2023-03-31,1,"Yorkshire and the Humber","53.476957877619, -0.068256887438021"
"VPI Immingham OCGT","EN01 - Generating Stations","Site at and adjacent to the existing VPI Immingham Power Station, Rosper Road, Immingham DN40 3DZ",2019-04-10,7,"North East","53.640092329193, -0.23458949435334"
"Walney Extension Offshore Wind Farm","EN01 - Generating Stations","Irish Sea off Walney Island",2013-06-28,7,"North West","54.031809161901, -3.4319190786936"
"West Burton C power station","EN01 - Generating Stations","Within the wider West Burton Power station site, approximately 3.5km to the south of Gainsborough",2019-04-30,7,"North East","53.364408870965, -0.79509088566949"
"West Burton Solar Project","EN01 - Generating Stations","West Burton 1-3 land parcels located to the south of Sturton by Stow and south east of Marton.",0000-00-00,3,"East Midlands","53.292621651827, -0.67745461980434"
"West Midlands Interchange","TR05 - Rail Freight Interchanges","West Midlands",0000-00-00,7,"West Midlands","52.684523835178, -2.1201769551323"
"Western Rail Link to Heathrow","TR04 - Railways","Approximately 800m east of Langley Railway Station to Heathrow Airport Terminal 5",0000-00-00,1,"South East","51.484830274704, -0.50656858271533"
"Wheelabrator Harewood Waste-to-Energy Facility","EN01 - Generating Stations","Land West of Raymond Brown Waste Solutions, A303 Enviropark, Barton Stacey, Andover, SO21 3QS",0000-00-00,8,"South East","51.182631602816, -1.370896617484"
"Wheelabrator Kemsley Generating Station (K3) and Wheelabrator Kemsley North (WKN) Waste to Energy Facility","EN01 - Generating Stations","Adjacent to and immediately NE of the Kemsley Paper Mill, in Kemsley, Sittingbourne, Kent",2019-09-11,7,"South East","51.365872523238, 0.76083032408883"
"White Rose Carbon Capture and Storage Project","EN01 - Generating Stations","Drax Power Station, Selby, North Yorkshire",0000-00-00,7,"Yorkshire and the Humber","53.7465884405, -0.9926390932325"
"Whitemoss Landfill Western Extension","WS01 - Hazardous Waste Facilities","Skelmersdale, Lancashire",0000-00-00,7,"North West","53.538368760586, -2.801939652145"
"Willington C Gas Pipeline","EN06 - Gas Transporter Pipe-lines","Near Burton on Trent",0000-00-00,7,"West Midlands","52.855945041801, -1.5425896251483"
"Woodside Link Houghton Regis Bedfordshire","TR01 - Highways","North of Houghton Regis Dunstable Bedfordshire",2013-05-14,7,Eastern,"51.909888759745, -0.49665194347867"
"Wrexham Energy Centre","EN01 - Generating Stations",Wrexham,0000-00-00,7,Wales,"53.047071807548, -2.9060402851082"
"Wylfa Newydd Nuclear Power Station","EN01 - Generating Stations","Anglesey, Wales",0000-00-00,8,Wales,"53.415573261659, -4.4818589307542"
"York Potash Harbour Facilities Order","TR03 - Harbour Facilities","Bran Sand, Teesport",0000-00-00,7,"North East","54.616592258606, -1.1492958668676"
"Yorkshire and Humber CCS Cross Country Pipeline","EN07 - Other Pipe-lines","Drax, North Yorkshire to Barmston, East Riding of Yorkshire",0000-00-00,7,"Yorkshire and the Humber","53.877400250393, -0.54097208308862"
"Yorkshire GREEN","EN02 - Electric Lines","Approximately 2km to the north west of York, extending 36km south to Monk Fryston substation",0000-00-00,4,"Yorkshire and the Humber","53.900774347168, -1.2740620478897"
